community_area,month,primary_type,type_count
19,2025-02-01,OFFENSE INVOLVING CHILDREN,3
19,2025-02-01,OTHER OFFENSE,27
19,2025-02-01,ROBBERY,4
19,2025-02-01,SEX OFFENSE,1
19,2025-02-01,STALKING,2
19,2025-02-01,THEFT,83
19,2025-02-01,WEAPONS VIOLATION,6
20,2025-01-01,ASSAULT,9
20,2025-01-01,BATTERY,14
20,2025-01-01,BURGLARY,6
20,2025-01-01,CRIMINAL DAMAGE,14
20,2025-01-01,CRIMINAL TRESPASS,1
20,2025-01-01,DECEPTIVE PRACTICE,5
20,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,1
20,2025-01-01,MOTOR VEHICLE THEFT,7
20,2025-01-01,OTHER OFFENSE,10
20,2025-01-01,PUBLIC PEACE VIOLATION,1
20,2025-01-01,ROBBERY,1
20,2025-01-01,THEFT,26
20,2025-01-01,WEAPONS VIOLATION,3
20,2025-02-01,ASSAULT,11
20,2025-02-01,BATTERY,8
20,2025-02-01,BURGLARY,1
20,2025-02-01,CRIMINAL DAMAGE,4
20,2025-02-01,CRIMINAL TRESPASS,1
20,2025-02-01,DECEPTIVE PRACTICE,13
20,2025-02-01,MOTOR VEHICLE THEFT,6
20,2025-02-01,NARCOTICS,1
20,2025-02-01,OFFENSE INVOLVING CHILDREN,1
20,2025-02-01,OTHER OFFENSE,8
20,2025-02-01,ROBBERY,2
20,2025-02-01,SEX OFFENSE,1
20,2025-02-01,THEFT,16
20,2025-02-01,WEAPONS VIOLATION,2
21,2025-01-01,ASSAULT,9
21,2025-01-01,BATTERY,23
21,2025-01-01,BURGLARY,10
21,2025-01-01,CRIMINAL DAMAGE,21
21,2025-01-01,CRIMINAL SEXUAL ASSAULT,1
21,2025-01-01,CRIMINAL TRESPASS,3
21,2025-01-01,DECEPTIVE PRACTICE,17
21,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,1
21,2025-01-01,MOTOR VEHICLE THEFT,19
21,2025-01-01,OTHER OFFENSE,8
21,2025-01-01,ROBBERY,2
21,2025-01-01,SEX OFFENSE,2
21,2025-01-01,THEFT,63
21,2025-01-01,WEAPONS VIOLATION,3
21,2025-02-01,ASSAULT,14
21,2025-02-01,BATTERY,21
21,2025-02-01,BURGLARY,5
21,2025-02-01,CONCEALED CARRY LICENSE VIOLATION,1
21,2025-02-01,CRIMINAL DAMAGE,11
21,2025-02-01,CRIMINAL TRESPASS,4
21,2025-02-01,DECEPTIVE PRACTICE,9
21,2025-02-01,MOTOR VEHICLE THEFT,3
21,2025-02-01,NARCOTICS,2
21,2025-02-01,OTHER OFFENSE,13
21,2025-02-01,PROSTITUTION,1
21,2025-02-01,ROBBERY,2
21,2025-02-01,SEX OFFENSE,1
21,2025-02-01,STALKING,1
21,2025-02-01,THEFT,49
22,2025-01-01,ASSAULT,24
22,2025-01-01,BATTERY,32
22,2025-01-01,BURGLARY,18
22,2025-01-01,CONCEALED CARRY LICENSE VIOLATION,1
22,2025-01-01,CRIMINAL DAMAGE,25
22,2025-01-01,CRIMINAL SEXUAL ASSAULT,4
22,2025-01-01,CRIMINAL TRESPASS,5
